Unnamed: 0,SMILES,best_score
,Nc1c2c(nc3ccccc13)CCCC2,-8.3
,Cl.Nc1c2c(nc3ccccc13)CCCC2,Incorrect number of molecular fragments (2)
,Nc1c2ccccc2nc2ccccc12,-8.4
,Cl.Nc1c2ccccc2nc2ccccc12,Incorrect number of molecular fragments (2)
,Nc1cccc2nc3ccccc3cc12,-8.6
,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,-11.5
,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,-12
,CNc1c2ccccc2nc2ccccc12,-8.6
,Cl.Nc1c2ccccc2nc2ccccc12.O,Incorrect number of molecular fragments (3)
,Cl.Nc1c2c(nc3ccccc13)CCCC2.O,Incorrect number of molecular fragments (3)
,c1ccc2c(NCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,-11.6
,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,-10.9
,CCN1C(=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,Cannot recover original ligand: CCN1/C(=C\c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21 (original) != CCN1/C(=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21 (docked)
,c1ccc2c(NCCCNCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,-11.7
,CN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,-11.7
,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,-12.1
,CCN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,-11.9
,CN(C)CCCNc1c2ccccc2nc2ccccc12,-9
,CN(C)CCNc1cc(-c2ccccc2)nc2ccccc12,-10
,CCN1/C(=C/C=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,-11.5
,Nc1c2c(nc3cc(F)ccc13)CCCC2,-8.6
,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,-9
,Nc1c2c(nc3ccccc13)CCCCC2,-8.7
,Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,-10.7
,CN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,-10.5
,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,-9.2
,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,-10.2
